code,name,address,latitude,longitude,is_active
13302001,"DISPENSARIO HOCEN 13302001 - BOGOTA  (PONAL)","CARRERA 59 # 26 - 21 CAN",4.64775965909849400,-74.09757597000000000,1
13302003,"FARMACIA PONAL No13302003 CLINICA DEL SUR HOSPITALARACIA - BOGOTA","Calle 51 sur 07 No. 90 Bosa Porvenir",4.63403110,-74.18374600,1
13302006,"DISPENSARIO 13302006 - BOGOTA YESID DUARTE (PONAL)","CARRERA 68B BIS # 44 - 58 ED EDGAR YESID",4.65672131092839300,-74.10406765000000000,1
13302007,"DISPENSARIO 13302007 - BOGOTA CESPO (PONAL)","AVENIDA BOYACA # 142A - 55",4.73100047134084600,-74.06836246000000000,1
13302008,"DISPENSARIO 13302008 - BOGOTA CLINICA SUR (PONAL)","Calle 51 Sur #90 - 7",4.63413719876699800,-74.18364577372982000,1
13302009,"DISPENSARIO 13302009 - BOGOTA (PONAL)","Km 20 vía Sibate, Escuela Gonzalo Jimenez de Quesada",4.50420643000000000,-74.24890126000000000,1
13302014,"DISPENSARIO 13302014 - BOGOTA ESMERALDA (PONAL)","CARRERA 59 # 26 - 21 CAN",4.64811732282222940,-74.09748950000000000,1
13302015,"DISPENSARIO13302015 - BOGOTA KENNEDY BANDERAS (PONAL)","Calle 5C # 78H - 12 BARRIO MANDALAY",4.63016869000000000,-74.14766948000000000,1
13302022,"DISPENSARIO 13302022 - KENNEDY SUR BOGOTA (PONAL)","Calle 41C SUR #79A - 78 KENNEDY",4.62118537000000000,-74.15977449000000000,1
13302023,"DISPENSARIO 13302023 - BOGOTA BOSA (PONAL)","Calle 65J SUR #77J -49",4.59839376000000000,-74.18685394000000000,1
13302037,"DISPENSARIO 13302037 - BOGOTA SOACHA (PONAL)","CALLE 14 # 9 - 25 SOACHA",4.58413382000000000,-74.21890407000000000,1
13302039,"DISPENSARIO 13302039 - BOGOTA NORTE (PONAL)","CALLE 128B # 58B - 53",4.71668105547700800,-74.07134454000000000,1
13302040,"DISPENSARIO 13302040 - BOGOTA SAN ANTONIO SUR (PONAL)","CALLE 4S # 15A - 22",4.59053456000000000,-74.09387632000000000,1
13302048,"DISPENSARIO 13302048 - BOGOTA VENECIA SUR (PONAL)","Diagonal 45B SUR # 52A - 28 BARRIO VENECIA",4.59385397000000000,-74.13601180000000000,1
13302049,"FARMACIA PONAL No13302049 - CHIA","CARRERA 9 # 16 - 34",4.86477700,-74.05740430,1
13302052,"DISPENSARIO 13302052 - BOGOTA (ENGATIVA)","Carrera 80 # 69A - 81",4.68998277000000000,-74.10369259000000000,1
13302054,"DISPENSARIO 13302054 - CHAPINERO BOGOTA (PONAL)","Carrera 11 # 66 - 55",4.65252448732871900,-74.06173734607070000,1
13616945,"DROGUERIA BOSQUES DEL SUR .","TRAN 7 # 82 - 60 SUR ESTE",4.62627340,-74.10795950,1
13959278,"DROGUERIA SARILUD .","CL 90A N 93-74",4.70468540,-74.10367030,1
15302004,"FARMACIA PONAL No15302004 MÁLAGA","Carrera 9 # 14 - 19 Centro",4.69666170,-74.03229990,1
17290988,"PROFARMACED J.P.R. .","CR 53 B SUR N0 46-06",4.59442670,-74.14033000,1
19126732,"FARMA COMUNITARIA 80 DROGUERIA .","CL 80 N0 85 - 06",4.70264180,-74.10001770,1
19139481,"DROGUERIA SURAMERICA .","CR 16 N 22-02",4.61153500,-74.07621500,1
19143402,"DROGUERIA INVICTA .","CR 68 F # 21 - 94 SUR",4.61193250,-74.13051700,1
19169518,"DROGUERIA Y PERFUMERIA VICTORIA .","CRA. 70 F # 74 C - 05 BARRIO BONANZA",4.68465950,-74.11487740,1
19198043,"DROGUERIA PROYECCION 2021","TV 18 I N0 67 A - 60 SUR",4.55094090,-74.14599180,1
